country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,1450,1640,1620,1810,1880,1900,1900,1910,1940,1970
Albania,2550,1870,1730,2120,2310,2710,3050,2780,3110,3550,3980,4460,4800,5150,5560,5990,6750,7480,8260,8670,9530,10200,10500,10800,11400,11800,12100,13000,13400
Algeria,6440,6290,6470,6410,6310,6490,6740,6880,7240,7430,7760,8230,8630,9330,9810,10500,10900,11700,12100,12200,12600,12900,13200,13500,14000,14300,14900,15000,
Angola,2760,3120,1220,1230,960,2150,2160,2600,2580,2360,2530,2630,3180,3260,3560,4060,4450,5030,5260,5500,5630,5800,6220,6470,6760,6740,6410,6450,6170
Antigua and Barbuda,10200,11000,11300,12100,12900,12300,13200,14000,14500,15000,15600,15300,15200,16300,17400,19000,21700,24000,24000,21000,19700,19300,20000,20000,20500,21200,21900,23500,25500
Argentina,7060,7960,8780,9650,10300,10000,10600,11600,12000,11600,11600,11200,9790,10900,11100,12300,14800,16600,17400,16200,17900,19300,19300,19900,19600,20200,19700,20300,19900
Armenia,2340,2240,1130,1190,1430,1590,1790,1960,2090,2200,2390,2700,3140,3660,4160,4970,5870,6970,7700,6590,6890,7270,7950,8490,8780,9080,9010,9960,10500
Australia,16700,17100,17500,18600,19600,20200,21200,22200,23400,24500,25600,26600,27900,28900,30400,31400,33000,34900,35900,38900,37800,40300,41500,44800,45700,45300,46200,48300,50100
Austria,19500,20600,21300,21800,22600,23600,24500,25300,26500,27200,29100,29300,31000,32000,33700,34900,37700,39400,41700,40900,42400,44600,46500,48100,48900,49400,51800,53500,55300
Azerbaijan,,,,3490,2820,2500,2550,2730,3000,3220,3430,3820,4230,4710,5130,6380,8710,10800,12500,14000,14800,14600,15200,16300,17200,17300,16300,16800,17100
Bahamas,19000,18400,18400,18200,18900,23400,26500,21700,22600,24600,25800,26500,27200,27000,27500,28700,29700,30300,30100,28400,28500,29000,30300,29900,29300,29600,29700,30200,30300
Bahrain,24000,26600,27300,29400,29100,31100,32300,31900,33100,33300,34900,34400,33600,34700,35800,37500,38400,39800,39100,35300,36100,34900,40400,42700,44100,44300,44600,45000,44700
Bangladesh,880,920,970,1020,1070,1120,1160,1210,1260,1310,1390,1460,1530,1600,1710,1850,2030,2220,2400,2520,2670,2860,3090,3280,3460,3680,3910,4170,4570
Barbados,9390,9320,9000,9210,9540,9850,10400,11000,11500,11600,12400,12200,12400,12900,13400,14200,15000,16100,16300,15800,15800,15300,16100,15700,15800,16100,16000,16300,16300
